Country,Date_confirmation,New_infected,Total_infected
Portugal,2022-05-17,3,3
Portugal,2022-05-18,11,14
Portugal,2022-05-19,9,23
Portugal,2022-05-20,0,23
Portugal,2022-05-21,0,23
Portugal,2022-05-22,0,23
Portugal,2022-05-23,14,37
Portugal,2022-05-24,2,39
Portugal,2022-05-25,10,49
Portugal,2022-05-26,9,58
Portugal,2022-05-27,16,74
Portugal,2022-05-28,0,74
Portugal,2022-05-29,0,74
Portugal,2022-05-30,22,96
Portugal,2022-05-31,4,100
Portugal,2022-06-01,19,119
Portugal,2022-06-02,19,138
Portugal,2022-06-03,5,143
Portugal,2022-06-04,0,143
Portugal,2022-06-05,0,143
Portugal,2022-06-06,10,153
Portugal,2022-06-07,13,166
Portugal,2022-06-08,25,191
Portugal,2022-06-09,18,209
Portugal,2022-06-10,0,209
Portugal,2022-06-11,0,209
Portugal,2022-06-12,0,209
Portugal,2022-06-13,0,209
Portugal,2022-06-14,22,231
Portugal,2022-06-15,10,241
Portugal,2022-06-16,0,241
Portugal,2022-06-17,35,276
Portugal,2022-06-18,0,276
Portugal,2022-06-19,0,276
Portugal,2022-06-20,21,297
Portugal,2022-06-21,7,304
Portugal,2022-06-22,13,317
Portugal,2022-06-23,11,328
Portugal,2022-06-24,20,348
Portugal,2022-06-25,0,348
Portugal,2022-06-26,0,348
Portugal,2022-06-27,17,365
Portugal,2022-06-28,8,373
Portugal,2022-06-29,18,391
Portugal,2022-06-30,11,402
Portugal,2022-07-01,0,402
