Country,Date_confirmation,New_infected,Total_infected
World,2022-05-06,1,1
World,2022-05-07,0,1
World,2022-05-08,0,1
World,2022-05-09,0,1
World,2022-05-10,0,1
World,2022-05-11,0,1
World,2022-05-12,1,2
World,2022-05-13,1,3
World,2022-05-14,0,3
World,2022-05-15,4,7
World,2022-05-16,0,7
World,2022-05-17,3,10
World,2022-05-18,21,31
World,2022-05-19,16,47
World,2022-05-20,46,93
World,2022-05-21,16,109
World,2022-05-22,0,109
World,2022-05-23,73,182
World,2022-05-24,34,216
World,2022-05-25,44,260
World,2022-05-26,88,348
World,2022-05-27,51,399
World,2022-05-28,16,415
World,2022-05-29,15,430
World,2022-05-30,123,553
World,2022-05-31,66,619
World,2022-06-01,83,702
World,2022-06-02,125,827
World,2022-06-03,94,921
World,2022-06-04,7,928
World,2022-06-05,0,928
World,2022-06-06,114,1042
World,2022-06-07,150,1192
World,2022-06-08,97,1289
World,2022-06-09,146,1435
World,2022-06-10,42,1477
World,2022-06-11,9,1486
World,2022-06-12,107,1593
World,2022-06-13,58,1651
World,2022-06-14,243,1894
World,2022-06-15,146,2040
World,2022-06-16,371,2411
World,2022-06-17,196,2607
World,2022-06-18,1,2608
World,2022-06-19,1,2609
World,2022-06-20,290,2899
World,2022-06-21,273,3172
World,2022-06-22,166,3338
World,2022-06-23,434,3772
World,2022-06-24,331,4103
World,2022-06-25,3,4106
World,2022-06-26,168,4274
World,2022-06-27,367,4641
World,2022-06-28,364,5005
World,2022-06-29,131,5136
World,2022-06-30,261,5397
World,2022-07-01,33,5430
